PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,3,100,500,stag,0.072165
10000000,1E-10,3,250,25,astral-multi,0.051546
10000000,1E-10,3,250,25,astral-multi-w-true,0.051546
10000000,1E-10,3,250,25,apro,0.072165
10000000,1E-10,3,250,25,apro-w-true,0.072165
10000000,1E-10,3,250,25,apro-v2,0.072165
10000000,1E-10,3,250,25,duptree,0.072165
10000000,1E-10,3,250,25,mulrf,0.061856
10000000,1E-10,3,250,25,stag,NA
10000000,1E-10,3,250,50,astral-multi,0.020619
10000000,1E-10,3,250,50,astral-multi-w-true,0.020619
10000000,1E-10,3,250,50,apro,0.020619
10000000,1E-10,3,250,50,apro-w-true,0.020619
10000000,1E-10,3,250,50,apro-v2,0.020619
10000000,1E-10,3,250,50,duptree,0.020619
10000000,1E-10,3,250,50,mulrf,0.030928
10000000,1E-10,3,250,50,stag,0.134021
10000000,1E-10,3,250,100,astral-multi,0.010309
10000000,1E-10,3,250,100,astral-multi-w-true,0.010309
10000000,1E-10,3,250,100,apro,0
10000000,1E-10,3,250,100,apro-w-true,0
10000000,1E-10,3,250,100,apro-v2,0
10000000,1E-10,3,250,100,duptree,0.010309
10000000,1E-10,3,250,100,mulrf,0.010309
10000000,1E-10,3,250,100,stag,0.14433
10000000,1E-10,3,250,500,astral-multi,0
10000000,1E-10,3,250,500,astral-multi-w-true,0
10000000,1E-10,3,250,500,apro,0
10000000,1E-10,3,250,500,apro-w-true,0
10000000,1E-10,3,250,500,apro-v2,0
10000000,1E-10,3,250,500,duptree,0
10000000,1E-10,3,250,500,mulrf,0
10000000,1E-10,3,250,500,stag,0.030928
10000000,1E-10,4,0,25,astral-multi,0.010309
10000000,1E-10,4,0,25,astral-multi-w-true,0.010309
10000000,1E-10,4,0,25,apro,0.010309
10000000,1E-10,4,0,25,apro-w-true,0.010309
10000000,1E-10,4,0,25,apro-v2,0.010309
10000000,1E-10,4,0,25,duptree,0.010309
10000000,1E-10,4,0,25,mulrf,0.010309
10000000,1E-10,4,0,25,stag,0.030928
